matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
1,10.10.2001,19:00,Al-Shoalah,Al-Ittihad FC,2,1,
2,10.10.2001,19:00,Al-Ettifaq,Al Riyadh,2,1,
3,10.10.2001,19:00,Al Wehda,Al-Hilal,1,2,
4,11.10.2001,19:00,Al-Nassr,Al Taee,2,1,
5,11.10.2001,19:00,Al Najma,Al Ahli SC,0,1,
6,12.10.2001,19:00,Al-Shabab,Al Ansar,1,1,
7,14.10.2001,19:00,Al-Ettifaq,Al-Ittihad FC,1,3,
8,17.10.2001,19:00,Al-Ittihad FC,Al Taee,4,1,
9,17.10.2001,19:00,Al-Ettifaq,Al Ahli SC,0,4,
10,17.10.2001,19:00,Al Wehda,Al-Nassr,0,1,
11,17.10.2001,19:00,Al Ansar,Al Riyadh,0,2,
12,18.10.2001,19:00,Al-Shoalah,Al Najma,2,0,
13,18.10.2001,19:00,Al-Hilal,Al-Shabab,1,0,
14,23.10.2001,19:00,Al-Shoalah,Al Riyadh,3,3,
15,23.10.2001,19:00,Al Najma,Al-Hilal,0,0,
16,23.10.2001,19:00,Al Ahli SC,Al-Ittihad FC,1,2,
17,25.10.2001,19:00,Al-Shoalah,Al-Ettifaq,3,1,
18,25.10.2001,19:00,Al-Shabab,Al-Nassr,0,3,
19,26.10.2001,19:00,Al-Ittihad FC,Al Najma,4,0,
20,26.10.2001,19:00,Al Taee,Al Wehda,0,2,
21,26.10.2001,19:00,Al Riyadh,Al-Hilal,2,2,
22,26.10.2001,19:00,Al Ansar,Al Ahli SC,1,0,
23,31.10.2001,20:00,Al-Nassr,Al Riyadh,0,1,
24,31.10.2001,20:00,Al-Ettifaq,Al Najma,3,2,
25,31.10.2001,20:00,Al Wehda,Al-Ittihad FC,0,4,
26,31.10.2001,20:00,Al Ahli SC,Al-Hilal,2,4,
27,01.11.2001,20:00,Al-Shoalah,Al Ansar,2,1,
28,01.11.2001,20:00,Al Taee,Al-Shabab,1,2,
29,04.11.2001,20:00,Al-Nassr,Al-Ittihad FC,1,1,
