Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official
Tue ,18/08/2009,1,8:45:00 PM,Al-Ahli,Al-Raed,Prince Abdullah Al-Faisal Stadium,Jeddah,1,1,0,,Khalid Al-Zahrani,Nassir Al-Mudhaffr,Hmood Al-Shamari,Sami Al-Nemri
Tue ,18/08/2009,2,8:45:00 PM,Al-Fateh,Al-Ittihad,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,1,1,2,,Mamdouh Al-Mirdasi,Faiz Al-Kabli,Abdelraheem Al-Shamari,Abdulrahman Al-Ahmri
Wed ,19/08/2009,4,8:45:00 PM,Al-Wehda,Al-Ettifaq,King Abdul Aziz Sport City Stadium,Makkah,1,2,2,,Yahya Hazzazi,Saleh Al-Mutairi,Ahmed Fakihi,Abdelrahman Al-Malki
Wed ,19/08/2009,5,8:45:00 PM,Najran,Al-Shabab,AlAkhdoud Club Stadium,Najran,1,1,3,,Khalil Al-Ghamdi,Yahya Al-Meteq,Abdullah Al-Ahmari,Mousa Asiri
Wed ,19/08/2009,6,8:45:00 PM,Al-Qadsiah,Al-Hilal,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,1,1,2,,Abdulrahman Al-Amri,Fahad Al-Amri,Bader Al-Shamrani,Abdulelah Al-Mousa
Sat ,22/08/2009,16,10:15:00 PM,Al-Raed,Al-Ittihad,King Abdullah Sport City Stadium,Buraidah,3,0,2,Match from the 3rd round,Khalil Al-Ghamdi,Yousef Merza,Moaid Al-Sayeg,Saleh Al-Aqeel
Tue ,25/08/2009,7,10:15:00 PM,Al-Shabab,Al-Wehda,Prince Faisal bin Fahad Stadium,Riyadh,2,2,2,,Fahad Al-Mirdasi,Nassir Al-Mudhaffr,Ziad Al-Mansor,Abdullah Al-Qahtani
Tue ,25/08/2009,8,10:15:00 PM,Al-Ettifaq,Al-Nassr,Prince Mohamed bin Fahd Stadium,Dammam,2,1,1,,Abdulrahman Al-Amri,Bader Al-Shamrani,Yahya Al-Meteq,Hussin Al-Setri
Wed ,26/08/2009,10,10:15:00 PM,Al-Hilal,Najran,Prince Faisal bin Fahad Stadium,Riyadh,2,5,0,,Khalid Al-Zahrani,Faiz Al-Kabli,Moaid Al-Sayeg,Mamdouh Al-Mirdasi
Wed ,26/08/2009,11,10:15:00 PM,Al-Raed,Al-Fateh,King Abdullah Sport City Stadium,Buraidah,2,2,1,,Metref Al-Qahtani,Ahmed Fakihi,Abdullah Al-Shlwi,Mohammed Al-Owais
