Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Attendance,Referee_name,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name
Sat ,14/08/2010,4,9:45:00 PM,Al-Fateh,Al-Qadsiah,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,1,1,3,,592,Saleh Al-Aqeel,Ibrahim Al-Debasi,Khaled Al-Degairi,Mohammed Al-Sheef
Sat ,14/08/2010,1,10:00:00 PM,Al-Shabab,Al-Raed,King Fahad International Stadium,Riyadh,1,0,2,,754,Metref Al-Qahtani,Abdulaziz Al-Kathiri,Mohammed Al-Abkari,Bader Al-Anazi
Sat ,14/08/2010,2,10:00:00 PM,Najran,Al-Nassr,AlAkhdoud Club Stadium,Najran,1,0,1,,2335,Saad Al-Kathiri,Abdulaziz Al-Asmari,Mohammed Khmash,Mohammed Al-Harthi
Sat ,14/08/2010,3,10:15:00 PM,Al-Ittihad,Al-Ettifaq,Prince Abdullah Al-Faisal Stadium,Jeddah,1,2,1,,8126,Fahad Al-Mirdasi,Nassir Al-Mudhaffr,Ziad Al-Mansor,Abdelrahman Al-Malki
Sun ,15/08/2010,5,10:00:00 PM,Al-Hilal,Al-Taawoun,King Fahad International Stadium,Riyadh,1,1,0,,6596,Fahad Al-Oraini,Moaid Al-Sayeg,Majed Al-Nasser,Yahya Al-Qarni
Sun ,15/08/2010,6,10:15:00 PM,Al-Wehda,Al-Faisaly,King Abdul Aziz Sport City Stadium,Makkah,1,3,3,,232,Abdullah Al-Qubaisi,Yahya Al-Meteq,Ahmed Manai,Abdulrahman Al-Kabi
Sun ,15/08/2010,7,10:15:00 PM,Al-Ahli,Al-Hazem,Prince Abdullah Al-Faisal Stadium,Jeddah,1,1,0,,8574,Hussin Al-Setri,Abdullah Al-Shlwi,Abdulwahab Al-Zahrani,Sami Al-Nemri
Thu ,19/08/2010,9,9:45:00 PM,Al-Ettifaq,Al-Ahli,Prince Mohamed bin Fahd Stadium,Dammam,2,4,3,,4135,Abbas Ibrahim,Moaid Al-Sayeg,Bader Al-Shamrani,Fahad Al-Oraini
Thu ,19/08/2010,8,10:00:00 PM,Al-Nassr,Al-Fateh,Prince Faisal bin Fahad Stadium,Riyadh,2,4,2,,13126,Meree Al-Awagi,Abdulaziz Al-Kathiri,Nawaf Al-Otaibi,Suliman Al-Jasir
Thu ,19/08/2010,10,10:15:00 PM,Al-Taawoun,Al-Shabab,King Abdullah Sport City Stadium,Buraidah,2,4,1,,3129,Khalid Al-Zahrani,Abdulaziz Al-Asmari,Abdullah Asiri,Turki Al-Khudair
Fri ,20/08/2010,11,9:45:00 PM,Al-Qadsiah,Al-Wehda,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,2,1,1,,264,Saleh Al-Hathlool,Nassir Al-Mudhaffr,Waleed Al-boaimi,Hussin Al-Setri
Fri ,20/08/2010,14,10:00:00 PM,Al-Faisaly,Al-Ittihad,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,2,0,2,,2195,Sami Al-Nemri,Ibrahim Al-Debasi,Saleh Al-Shehri,Faisal Al-Anazi
Fri ,20/08/2010,12,10:15:00 PM,Al-Raed,Najran,King Abdullah Sport City Stadium,Buraidah,2,3,2,,5810,Abdelrahman Al-Qahtani,Abdullah Al-Shlwi,Abdullah Al-Ahmari,Mishari Al-Mishari
Fri ,20/08/2010,13,10:15:00 PM,Al-Hazem,Al-Hilal,Alhazm Club Stadium,Al-Ras,2,0,2,,2413,Abdulrahman Al-Amri,Hmood Al-Shamari,Abdelraheem Al-Shamari,Mohammed Al-Nuhait
Tue ,24/08/2010,15,10:00:00 PM,Al-Shabab,Al-Ettifaq,Prince Faisal bin Fahad Stadium,Riyadh,3,2,1,,746,Meree Al-Awagi,Abdullah Al-Shlwi,Majed Al-Nasser,Yahya Al-Qarni
Tue ,24/08/2010,16,10:15:00 PM,Al-Taawoun,Al-Nassr,King Abdullah Sport City Stadium,Buraidah,3,2,2,,12707,Abbas Ibrahim,Nassir Al-Mudhaffr,Mohammed Al-Abkari,Mishari Al-Mishari
Tue ,24/08/2010,17,10:15:00 PM,Al-Ahli,Al-Fateh,Prince Abdullah Al-Faisal Stadium,Jeddah,3,1,2,,6159,Fahad Al-Mirdasi,Abdulaziz Al-Asmari,Abdelraheem Al-Shamari,Abdelrahman Al-Malki
Tue ,24/08/2010,18,10:15:00 PM,Al-Hazem,Al-Qadsiah,Alhazm Club Stadium,Al-Ras,3,2,2,,23,Abdullah Al-Qubaisi,Yahya Al-Meteq,Mohammed Al-Zahrani,Turki Al-Khudair
Wed ,25/08/2010,19,10:00:00 PM,Al-Hilal,Al-Faisaly,Prince Faisal bin Fahad Stadium,Riyadh,3,5,1,,7589,Abdelrahman Al-Qahtani,Abdulaziz Al-Kathiri,Waleed Al-boaimi,Bader Al-Anazi
Wed ,25/08/2010,20,10:15:00 PM,Al-Ittihad,Najran,Prince Abdullah Al-Faisal Stadium,Jeddah,3,2,0,,8491,Fahad Al-Oraini,Bader Al-Shamrani,Moaid Al-Sayeg,Sami Al-Nemri
Wed ,25/08/2010,21,10:15:00 PM,Al-Raed,Al-Wehda,King Abdullah Sport City Stadium,Buraidah,3,3,2,,2395,Saad Al-Kathiri,Abdulwahab Al-Zahrani,Abdelraheem Al-Shamari,Mohammed Al-Nuhait
Sat ,28/08/2010,23,9:45:00 PM,Al-Qadsiah,Al-Taawoun,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,4,4,1,,162,Fahad Al-Mirdasi,Ziad Al-Mansor,Abdelraheem Al-Shamari,Fahad Al-Oraini
Sat ,28/08/2010,22,10:00:00 PM,Al-Nassr,Al-Shabab,Prince Faisal bin Fahad Stadium,Riyadh,4,0,0,,10439,Abdulrahman Al-Amri,Moaid Al-Sayeg,Bader Al-Shamrani,Suliman Al-Jasir
Sun ,29/08/2010,25,9:45:00 PM,Al-Ettifaq,Al-Faisaly,Prince Mohamed bin Fahd Stadium,Dammam,4,1,0,,655,Abdullah Al-Qubaisi,Hmood Al-Shamari,Abdullah Al-Ahmari,Mohammed Al-Sheef
