matchNo,Round,Date,Time,Team1,Team2,Score1,Score2
1,2,08.08. 2014,20:45,Al-Ittihad FC,Al-Faisaly,2,1
2,2,08.08.2014,20:45,Al-Hilal,Al Orubah,4,1
3,1,13.08.2014,20:50,Al-Shoalah,Al-Hilal,1,3
4,1,13.08.2014,20:50,Al-Ittihad FC,Al-Fateh,1,0
5,1,15.08.2014,19:40,Al Orubah,Al-Taawon,4,3
6,1,15.08.2014,20:50,Al-Faisaly,Al-Raed,1,0
7,1,15.08.2014,21:15,Al-Nassr,Najran,4,1
8,1,16.08.2014,20:50,Al-Shabab,Al Khaleej,2,0
9,1,16.08.2014,20:50,Al Ahli SC,Hajer,6,1
10,2,22.08.2014,18:50,Hajer,Al-Taawon,2,0
11,2,22.08.2014,18:50,Al Khaleej,Al-Shoalah,1,1
12,2,23.08.2014,20:45,Najran,Al Ahli SC,1,1
13,2,23.08.2014,20:45,Al-Raed,Al-Nassr,1,2
14,2,23.08.2014,20:45,Al-Fateh,Al-Shabab,0,2
15,3,29.08.2014,18:45,Al-Fateh,Al-Faisaly,1,2
16,3,29.08.2014,20:40,Al-Shabab,Hajer,2,0
17,3,30.08.2014,19:25,Al Orubah,Al-Raed,2,1
18,3,30.08.2014,20:40,Al-Taawon,Najran,0,0
19,3,30.08.2014,20:40,Al Khaleej,Al-Nassr,0,1
20,3,31.08.2014,18:55,Al-Shoalah,Al-Ittihad FC,1,3
21,3,31.08.2014,20:40,Al-Hilal,Al Ahli SC,0,0
22,4,11.09.2014,18:45,Al-Faisaly,Hajer,2,0
23,4,11.09.2014,20:25,Al-Raed,Al-Taawon,0,0
24,4,12.09.2014,20:25,Al-Shabab,Al-Shoalah,2,1
25,4,12.09.2014,20:25,Al-Ittihad FC,Al Orubah,2,1
26,4,12.09.2014,20:25,Al-Hilal,Najran,2,1
27,4,13.09.2014,20:25,Al-Nassr,Al-Fateh,4,2
28,4,13.09.2014,20:25,Al Ahli SC,Al Khaleej,2,1
29,5,17.09.2014,18:20,Hajer,Al-Raed,2,1
30,5,17.09.2014,19:00,Al Orubah,Al-Faisaly,1,1
31,5,17.09.2014,20:20,Al Ahli SC,Al-Shabab,0,0
32,5,18.09.2014,20:20,Al-Taawon,Al-Fateh,1,2
33,5,18.09.2014,20:20,Al-Shoalah,Al-Nassr,1,2
34,5,19.09.2014,20:20,Najran,Al-Ittihad FC,1,2
35,5,19.09.2014,20:20,Al-Hilal,Al Khaleej,3,0
36,6,24.09.2014,20:15,Al-Fateh,Al-Hilal,1,2
37,6,26.09.2014,20:15,Al-Raed,Al-Ittihad FC,0,1
38,6,27.09.2014,18:25,Al-Shoalah,Al Ahli SC,0,2
39,6,27.09.2014,18:30,Al-Faisaly,Al-Taawon,2,2
40,6,27.09.2014,20:15,Al-Shabab,Najran,2,1
41,6,28.09.2014,18:10,Al Khaleej,Hajer,2,2
42,6,28.09.2014,20:15,Al-Nassr,Al Orubah,2,1
43,7,16.10.2014,17:50,Hajer,Al Orubah,1,0
44,7,16.10.2014,18:20,Najran,Al-Faisaly,0,1
45,7,16.10.2014,19:55,Al-Taawon,Al-Shoalah,3,0
46,7,17.10.2014,17:50,Al-Fateh,Al-Raed,3,2
47,7,17.10.2014,19:55,Al-Ittihad FC,Al Khaleej,2,1
48,7,17.10.2014,19:55,Al-Hilal,Al-Shabab,0,1
49,7,18.10.2014,19:55,Al Ahli SC,Al-Nassr,2,1
