matchNo,Round,Date,Time,Team1,Team2,Score1,Score2,Note
1,1,10.08.2017,19:00,Al-Fateh,Al-Taawon,1,4,
2,1,10.08.2017,20:55,Al-Hilal,Al Feiha,2,1,
3,1,11.08.2017,19:00,Al Qadisiya,Al-Raed,2,1,
4,1,11.08.2017,20:55,Al Batin,Al-Ittihad FC,1,3,
5,1,11.08.2017,20:55,Al-Ettifaq,Al Ahli SC,2,1,
6,1,12.08.2017,19:10,Al-Shabab,Ohod,1,2,
7,1,12.08.2017,20:55,Al-Faisaly,Al-Nassr,1,3,
8,2,15.08.2017,20:50,Al-Taawon,Al-Hilal,3,4,
9,2,17.08.2017,19:20,Al-Raed,Al-Faisaly,2,3,
10,2,17.08.2017,20:50,Al Ahli SC,Al-Fateh,4,0,
11,2,18.08.2017,19:15,Al Batin,Ohod,2,0,
12,2,18.08.2017,20:50,Al-Nassr,Al-Ettifaq,2,2,
13,2,19.08.2017,19:05,Al-Shabab,Al Qadisiya,4,1,
14,2,19.08.2017,20:50,Al Feiha,Al-Ittihad FC,2,5,
15,3,14.09.2017,20:25,Al-Ettifaq,Al Qadisiya,1,2,
16,3,15.09.2017,18:25,Al-Fateh,Al-Raed,1,0,
17,3,15.09.2017,18:40,Al-Shabab,Al Batin,1,2,
18,3,15.09.2017,20:25,Al-Faisaly,Al-Ittihad FC,2,1,
19,3,16.09.2017,18:40,Al Feiha,Al-Taawon,1,1,
20,3,16.09.2017,20:25,Al-Hilal,Ohod,1,0,
21,3,17.09.2017,20:25,Al Ahli SC,Al-Nassr,1,1,
22,4,21.09.2017,20:20,Al-Ittihad FC,Al-Hilal,1,1,
23,4,22.09.2017,18:35,Al Batin,Al Ahli SC,1,2,
24,4,22.09.2017,19:00,Ohod,Al-Fateh,0,2,
25,4,22.09.2017,20:20,Al-Nassr,Al Feiha,2,2,
26,4,23.09.2017,18:15,Al-Ettifaq,Al-Shabab,2,3,
27,4,23.09.2017,18:15,Al Qadisiya,Al-Faisaly,1,1,
28,4,23.09.2017,20:20,Al-Raed,Al-Taawon,2,2,
29,5,28.09.2017,18:30,Al Batin,Al-Fateh,0,0,
30,5,28.09.2017,20:15,Al-Taawon,Al-Ittihad FC,1,2,
31,5,29.09.2017,18:30,Al Feiha,Ohod,1,0,
32,5,29.09.2017,20:15,Al-Shabab,Al-Nassr,0,1,
33,5,30.09.2017,18:30,Al-Faisaly,Al-Ettifaq,3,0,
34,5,30.09.2017,20:15,Al-Hilal,Al Qadisiya,2,1,
35,5,30.09.2017,20:15,Al Ahli SC,Al-Raed,5,3,
36,6,13.10.2017,17:55,Al-Fateh,Al Qadisiya,2,1,
37,6,13.10.2017,20:00,Al-Ittihad FC,Ohod,2,2,
38,6,14.10.2017,17:55,Al-Ettifaq,Al Batin,1,3,
39,6,14.10.2017,20:00,Al-Shabab,Al Ahli SC,2,5,
40,6,14.10.2017,20:00,Al-Faisaly,Al Feiha,2,1,
41,6,15.10.2017,20:00,Al-Nassr,Al-Taawon,2,1,
42,7,19.10.2017,17:50,Al Qadisiya,Al Feiha,1,1,
43,7,19.10.2017,18:10,Al-Raed,Al-Shabab,2,2,
44,7,19.10.2017,19:55,Ohod,Al-Nassr,2,2,
45,7,20.10.2017,17:50,Al-Fateh,Al-Ettifaq,1,1,
46,7,20.10.2017,19:55,Al-Taawon,Al-Faisaly,1,0,
47,7,21.10.2017,19:55,Al-Hilal,Al Batin,2,1,
48,7,21.10.2017,19:55,Al Ahli SC,Al-Ittihad FC,3,0,
49,8,25.10.2017,18:05,Al Feiha,Al-Ettifaq,1,2,
50,8,25.10.2017,19:50,Al-Ittihad FC,Al Qadisiya,0,0,
51,8,26.10.2017,18:00,Al Batin,Al-Raed,1,5,
52,8,26.10.2017,19:50,Al-Nassr,Al-Hilal,1,2,
53,8,26.10.2017,19:50,Al-Faisaly,Al Ahli SC,1,2,
54,8,27.10.2017,18:00,Al-Shabab,Al-Fateh,1,1,
55,8,27.10.2017,19:50,Al-Taawon,Ohod,3,1,
56,9,31.10.2017,17:35,Al-Ettifaq,Al-Raed,2,0,
57,9,31.10.2017,19:45,Al Ahli SC,Al Feiha,1,1,
58,9,01.11.2017,17:35,Al Qadisiya,Al-Taawon,1,0,
59,9,01.11.2017,19:45,Al-Hilal,Al-Shabab,1,1,
60,9,01.11.2017,19:45,Al-Fateh,Al-Ittihad FC,1,2,
61,9,04.11.2017,19:45,Ohod,Al-Faisaly,1,3,
62,10,16.11.2017,17:30,Al Qadisiya,Al Batin,0,0,
